Iter,Param1,Param2,Drag,Lift
251.0,0.03153,-0.580699,465.345669,-298.455818
238.0,-0.805254,-0.878439,465.480565,-335.818029
204.0,0.118806,-0.843706,467.57712,-347.102365
297.0,-0.656294,-0.997685,468.624286,-347.130404
299.0,-0.698561,-0.616868,469.544547,-352.166775
1.0,-0.558956,-0.621319,470.849604,-367.78911
85.0,-0.716605,-0.497196,475.919559,-374.595355
262.0,0.421047,-0.602175,477.169492,-374.898029
179.0,0.495738,-0.627689,480.719367,-377.460257
105.0,-0.644818,0.303448,480.826243,-377.71522
242.0,0.212978,0.179233,482.285165,-378.047506
132.0,0.720693,0.334441,484.68159,-436.484001